id,trail_id,trail_name,description,latitude,longitude,park_name,distance,url,,,
26,26,Bodega Head,"<p>
	Viewed from a distance, this trail through the grassy uplands may appear lifeless, but can actually be teeming with wildlife, wildflowers, and unspoiled views of the Sonoma and Marin coastline. Listen for the barks of harbor seals, birdsong, and crashing waves.</p>
<p>
	Barrier Free Access- vist <a href=http://www.wheelingcalscoast.org/site.php?site=103"" target=""_blank"">Wheeling Cal&#39;s Coast</a> for more accessibility details.</p>",,,,,,,,
",38.3035,-123.065,Sonoma Coast State Beach""",1487.72,http://www.parks.ca.gov/,,,,,,,,,
27,27,Pinnacle Gulch Coastal Access,NULL,38.3131,-123.014,Doran Regional Park/Bird Walk Coastal Access,1484.93,http://parks.sonomacounty.ca.gov/,,,
28,28,Robert Louis Stevenson SP-Lake County Hwy 1,NULL,38.6554,-122.606,Robert Louis Stevenson State Park,1460.95,http://www.parks.ca.gov/,,,
29,29,Westwood Hills Wilderness Park,NULL,38.3028,-122.319,Westwood Hills Park,1447.49,http://www.cityofnapa.org/,,,
30,30,Napa River Ecological Reserve,NULL,38.4177,-122.353,Rector Resevoir Wildlife Area,1448.63,http://www.cdva.ca.gov/,,,
31,31,Sugarloaf Ridge State Park,,38.438,-122.514,Sugarloaf Ridge,1457.19,http://www.parks.ca.gov/,,,
32,32,Main Entrance -W Verano Ave,"<p>
	See more at <a href=http://parks.sonomacounty.ca.gov/Get_Outdoors/Parks/Maxwell_Farms_Regional_Park.aspx"" target=""_blank"">Sonoma County Regional Parks.</a></p>",,,,,,,,
<p>,,,,,,,,,,,
"	<span style=""font-family: arial; font-size: small;"">Maxwell Farms Regional Park has 2.5 miles of trails across 40 acres of open space. The trails in the section of the park are virtually level offering easy strolls through corridors of mature bay trees and across remnants of historic orchards.</span></p>",,,,,,,,,,,
",38.3022,-122.479,Maxwell Farms Regional Park""",1456.13,http://parks.sonomacounty.ca.gov/,,,,,,,,,
33,34,Jack London State Historic Park,NULL,38.3564,-122.545,Jack London State Historic Park,1459.33,http://www.parks.ca.gov/,,,
34,35,Highway 12 Entrance,,38.3643,-122.512,Sonoma Valley Regional Park,1457.52,http://parks.sonomacounty.ca.gov/,,,
35,36,Alston Park,NULL,38.323,-122.333,Alston Park,1448.08,http://www.napalandtrust.org/,,,
36,37,Estancia Court Walk-In Entrance,NULL,37.7677,-121.998,Bishop Ranch Regional Open Space,1433.74,http://www.ebparks.org/,,,
37,38,Marksmanship Range Staging Area,NULL,37.7446,-122.102,Anthony Chabot Regional Park,1439.57,http://www.ebparks.org/,,,
38,39,Marciel Road Day Use Parking,NULL,37.741,-122.094,Anthony Chabot Regional Park,1439.19,http://www.ebparks.org/,,,
39,40,Knowland Park,NULL,37.7534,-122.15,Knowland Park/Oakland Zoo,1442.13,http://www.oaklandnet.com/,,,
40,41,Marciel Road Park Entrance/Kiosk,NULL,37.7352,-122.096,Anthony Chabot Regional Park,1439.33,http://www.ebparks.org/,,,
41,42,Redwood Road Walk-In Entrance - Soaring Hawk Trail (south),NULL,37.7673,-122.11,Anthony Chabot Regional Park,1439.83,http://www.ebparks.org/,,,
42,43,Clyde Woolridge Staging Area,NULL,37.7538,-122.119,Anthony Chabot Regional Park,1440.41,http://www.ebparks.org/,,,
43,44,Paddock Drive Walk-In Entrance,NULL,37.7599,-121.988,Bishop Ranch Regional Open Space,1433.29,http://www.ebparks.org/,,,
44,45,Chabot Park Walk-In Entrance,NULL,37.7316,-122.127,Anthony Chabot Regional Park,1441.05,http://www.ebparks.org/,,,
45,47,Marciel Gate Staging Area,NULL,37.7594,-122.105,EBMUD,1439.63,http://www.ebmud.com/,,,
46,49,Heyer Avenue Walk-In Entrance,NULL,37.7037,-122.057,Cull Canyon Regional Recreation Area,1437.44,http://www.ebparks.org/,,,
47,50,Main Entrance Staging Area,NULL,37.7093,-122.055,Cull Canyon Regional Recreation Area,1437.29,http://www.ebparks.org/,,,
48,51,Winifred Drive Walk-In Entrance,NULL,37.7088,-122.058,Cull Canyon Regional Recreation Area,1437.47,http://www.ebparks.org/,,,
49,52,Columiba Drive Walk-In Entrance,NULL,37.7112,-122.057,Cull Canyon Regional Recreation Area,1437.38,http://www.ebparks.org/,,,
50,53,Woodroe Avenue Park Entrance,NULL,37.6895,-122.055,Five Canyons trail corridor,1437.46,http://www.ebparks.org/,,,
51,54,Main Parking Area,NULL,37.692,-122.055,Five Canyons trail corridor,1437.41,http://www.ebparks.org/,,,
52,56,Crest Avenue Walk-In Entrance near Irma Way,NULL,37.7097,-122.106,Anthony Chabot Regional Park,1440.09,http://www.ebparks.org/,,,
53,57,Fairmont Ridge Staging Area,NULL,37.7133,-122.109,Anthony Chabot Regional Park,1440.18,http://www.ebparks.org/,,,
54,58,Fairmont Drive Walk-In Entrance,NULL,37.7145,-122.105,Anthony Chabot Regional Park,1439.99,http://www.ebparks.org/,,,
55,59,Lake Chabot Road Walk-In Entrance,NULL,37.7135,-122.099,Anthony Chabot Regional Park,1439.66,http://www.ebparks.org/,,,
56,60,Public Safety / Nike Classroom Staging Area,NULL,37.7207,-122.096,Anthony Chabot Regional Park,1439.42,http://www.ebparks.org/,,,
57,62,Lake Chabot Road Park Entrance,,37.7152,-122.102,Anthony Chabot Regional Park,1439.81,http://www.ebparks.org/,,,
58,63,Redwood Road Walk-In Entrance at Alta Mira,NULL,37.7187,-122.074,EBMUD,1438.26,http://www.ebmud.com/,,,
59,64,Proctor Staging Area,NULL,37.7215,-122.077,EBMUD,1438.38,http://www.ebmud.com/,,,
60,65,Willow Park Golf Course,NULL,37.726,-122.081,EBMUD,1438.59,http://www.ebmud.com/,,,
61,66,Pescadero Marsh Natural Preserve,NULL,37.2654,-122.412,Pescadero Marsh Natural Preserve,1460.56,http://www.parks.ca.gov/,,,
62,67,Olompali State Historic Park,NULL,38.1514,-122.571,Olompali State Historic Park,1462.06,http://www.parks.ca.gov/,,,
63,68,Crane Creek Regional Park,,38.3442,-122.645,Crane Creek Regional Park,1464.79,http://parks.sonomacounty.ca.gov/,,,
64,69,Helen Putnam Regional Park-Chileno Valley Rd,NULL,38.2126,-122.664,Helen Putnam Regional Park,1466.68,http://parks.sonomacounty.ca.gov/,,,
65,70,Rush Ranch,NULL,38.2088,-122.026,Rush Ranch Open Space,1432.19,http://www.solanolandtrust.org/,,,
66,71,Grant Trail / Rose Garden Lot,"<p>
	Trailhead to the Grant Trail in Joseph D. Grant County Park. Access trail to the east leads to Hotel Trail.</p>
",37.3368,-121.715,Joseph D. Grant County Park,1421.9,http://www.parkhere.org/,,,
67,72,Barbier Park,NULL,37.9858,-122.485,China Camp State Park,1458.53,http://www.parks.ca.gov/,,,
68,73,Point Pinole,"<p>
	Within this 2,315-acre park, the largest on the northeast bay shore, you&#39;ll find a variety of habitats; meadows, marshlands, rocky beaches, while views of Mt.Tamalpais, the Marin shoreline, and San Pablo and San Francisco Bay stretch before you. Wildlife is abundant and Monarch butterflies migrate to the many eucalyptus groves Nov-Feb.</p>
<p>
	Twelve miles of trails (for the adventurous wheelchair rider many are manageable) crisscross the park; the trail from the parking lot to the fishing pier is paved, albeit hilly.</p>
",37.992,-122.356,Point Pinole Regional Shoreline,1451.52,http://www.ebparks.org/,,,
69,74,China Camp State Park,NULL,38.0033,-122.467,China Camp State Park,1457.46,http://www.parks.ca.gov/,,,
70,75,"Tubbs Island, San Pablo Bay National Wildlife Refuge",NULL,38.1529,-122.436,San Pablo Bay National Wildlife Refuge,1454.75,http://www.fws.gov/data/,,,
71,76,Samuel P. Taylor State Park: Barnabe Mountain,"<p>
	Access to the Cross Marin Trail, Samuel P. Taylor camping and Barnabe Mountain.&nbsp;</p>
<p>
	Easily accessible by Route 68 of the <a href=http://www.marintransit.org/stage.html"" target=""_blank"">West Marin Stage Coach</a>.&nbsp;</p>",,,,,,,,
",38.0196,-122.73,Samuel P. Taylor State Park""",1471.57,http://www.parks.ca.gov/,,,,,,,,,
72,77,Skywalker Easement,NULL,38.0477,-122.622,Lucas Valley Open Space Preserve,1465.52,http://www.marinopenspace.org/,,,
73,78,Gary Giacomini Open Space Preserve,NULL,38.0051,-122.646,Gary Giacomini Open Space Preserve,1467.13,http://www.marinopenspace.org/,,,
74,80,Roy's Redwoods Open Space Preserve,NULL,38.0206,-122.662,Roys Redwoods Open Space Preserve,1467.88,http://www.marinopenspace.org/,,,
75,81,Annadel State Park,NULL,38.452,-122.634,Annadel State Park,1463.56,http://www.parks.ca.gov/,,,
76,82,Shiloh Ranch Regional Park,NULL,38.5255,-122.762,Shiloh Regional Park,1470.08,http://parks.sonomacounty.ca.gov/,,,
77,85,Cascade Canyon Open Space Preserve,<br>,37.9783,-122.613,Marin Municipal Water District Watershed,1465.56,http://www.marinwater.org/,,,
78,86,Bolinas Ridge: Rock Springs,,37.9109,-122.613,Golden Gate National Recreation Area - Marin,1466.02,http://www.nps.gov/,,,
79,87,Mount Tamalpais State Park: Pantoll,"<p>
	A very popular place to start a Mount Tamalpais or Muir woods adventure. There is parking, bathrooms, water, camping and a ranger station here. You can get a park map and info on the area.&nbsp;</p>
<p>
	Tons of amazing hikes from here with the highlights being Muir Woods and ocean views along the Coastal Trail.&nbsp;</p>
<p>
	Link to <a href=http://www.parks.ca.gov/?page_id=471"" target=""_blank"">Mount Tamalpias State Park</a> on www.parks.ca.gov:</p>",,,,,,,,
<p>,,,,,,,,,,,
"	The<a href=""http://www.marintransit.org/stage.html"" target=""_blank""> </a><a href=""http://www.marintransit.org/systemmap_stage.html"" target=""_blank"">Marin Stage Coach route 61</a><a href=""http://www.marintransit.org/stage.html"" target=""_blank""> </a>drops off &nbsp;and picks up here. &nbsp;<br />",,,,,,,,,,,
"	&nbsp;</p>",,,,,,,,,,,
",37.9037,-122.604,Mount Tamalpais State Park""",1465.6,http://www.parks.ca.gov/,,,,,,,,,
80,88,Mount Tamalpais/Marin Municipal Water District: Sky Oaks,NULL,37.9489,-122.597,Marin Municipal Water District Watershed,1464.9,http://www.marinwater.org/,,,
81,89,Mount Tamalpais/Marin Municipal Water District: Bon Tempe,NULL,37.9592,-122.61,Marin Municipal Water District Watershed,1465.5,http://www.marinwater.org/,,,
82,90,Mount Tamalpais/Marin Municipal Water District: Cataract Falls,NULL,37.9367,-122.638,Marin Municipal Water District Watershed,1467.19,http://www.marinwater.org/,,,
83,91,Marin Municipal Water District: Carson Falls,NULL,37.9637,-122.625,Marin Municipal Water District Watershed,1466.29,http://www.marinwater.org/,,,
84,92,Newhall Community Park,NULL,37.9548,-121.976,Newhall Community Park,1431.2,http://www.ci.concord.ca.us/,,,
85,93,Lime Ridge/Treat Blvd,NULL,37.948,-122.009,Lime Ridge Open Space,1433.02,http://www.ci.concord.ca.us/,,,
86,94,Lime Ridge Open Space-Arbolado Dr,NULL,37.9169,-121.987,Lime Ridge Open Space,1432.04,http://www.ci.concord.ca.us/,,,
87,95,Lime Ridge Open Space-Valley Vista Rd,NULL,37.9216,-122,Lime Ridge Open Space,1432.71,http://www.ci.concord.ca.us/,,,
88,96,Lime Ridge Open Space-Navaronne Way,NULL,37.9409,-122.009,Lime Ridge Open Space,1433.1,http://www.ci.concord.ca.us/,,,
89,97,Lime Ridge Open Space-Perada Dr,NULL,37.933,-122.004,Lime Ridge Open Space,1432.88,http://www.ci.concord.ca.us/,,,
90,98,Lime Ridge Open Space-Rock Oak Rd,NULL,37.9396,-122.009,Lime Ridge Open Space,1433.07,http://www.ci.concord.ca.us/,,,
91,99,Mitchell Canyon Staging Area,"<p>
	Great <a href=http://www.savemountdiablo.org/lands_map.html"" target=""_blank"">trail map </a>by Save Mount Diablo -&nbsp;</p>",,,,,,,,
",37.921,-121.941,Mount Diablo State Park""",1429.56,http://www.parks.ca.gov/,,,,,,,,,
92,100,Tamalpais Dr,NULL,37.9267,-121.936,Mount Diablo State Park,1429.23,http://www.parks.ca.gov/,,,
93,101,Greater Lime Ridge,NULL,37.9444,-121.985,Greater Lime Ridge,1431.77,http://www.ci.concord.ca.us/,,,
94,102,Greater Lime Ridge-Ygnacio Valley Rd,NULL,37.9465,-121.992,Greater Lime Ridge,1432.11,http://www.ci.concord.ca.us/,,,
95,103,Boundary Oak GC-Valley Vista Rd,NULL,37.9254,-121.997,Boundary Oak Golf Course,1432.52,http://www.ci.walnut-creek.ca.us/,,,
96,104,Ygnacio Valley Rd,NULL,37.9299,-122.005,Boundary Oak Golf Course,1432.93,http://www.ci.walnut-creek.ca.us/,,,
97,108,Mine Hill Trail / Hacienda Lot,"<p>
	Trailhead to the Mine Hill Trail and Deep Gulch Trail from the Hacienda Parking Lot in Almaden Quicksilver County Park.</p>
",37.174,-121.825,Almaden Quicksilver County Park,1429.42,http://www.parkhere.org/,,,
98,110,Mine Trail / Pueblo Day Use Area,"<p>
	Trailhead to the Mine Trail and Pueblo Trail in Santa Teresa County Park.</p>
",37.2124,-121.79,Santa Teresa County Park,1427.13,http://www.parkhere.org/,,,
99,111,Sierra Azul Open Space Preserve: Woods Trail,NULL,37.1753,-121.864,Mt. Umunhum Area,1431.53,http://www.openspace.org,,,
100,112,Sierra Azul Open Space Preserve: Bald Mountain,NULL,37.1593,-121.876,Mt. Umunhum Area,1432.32,http://www.openspace.org,,,
101,113,Henry W. Coe State Park: Hunting Hollow,NULL,37.076,-121.467,Henry W. Coe State Park,1410.79,http://www.parks.ca.gov/,,,
102,114,Memorial County Park,NULL,37.2755,-122.291,Memorial Park,1453.86,http://www.ci.sanmateo.ca.us/,,,
103,115,McNee Ranch State Park,,37.5539,-122.512,Montara State Beach,1463.43,http://www.parks.ca.gov/,,,
104,116,Pillar Point,NULL,37.5017,-122.497,Pillar Point Bluff,1463.03,http://www.openspacetrust.org/,,,
105,117,Fitzgerald Marine Reserve-Nevada Ave,NULL,37.5241,-122.516,Rancho Corral de Tierra,1463.9,http://www.openspacetrust.org/,,,
106,118,Quarry Park,NULL,37.5033,-122.463,Half Moon Bay State Beach,1461.18,http://www.parks.ca.gov/,,,
107,119,Junction Ranger Station,NULL,37.8666,-121.932,Mount Diablo State Park,1429.46,http://www.parks.ca.gov/,,,
108,120,Eaton Park-Eaton Ave,,37.4844,-122.27,Edgewood Park,1450.85,http://www.ci.pacifica.ca.us/,,,
109,121,Pulgas Ridge Open Space Preserve,NULL,37.4751,-122.283,Pulgas Ridge OSP,1451.62,http://www.openspace.org,,,
110,122,Big Canyon Park-Brittan Ave,NULL,37.4847,-122.282,Pulgas Ridge OSP,1451.47,http://www.openspace.org,,,
111,123,Waterdog Lake Park,NULL,37.5084,-122.319,San Francisco Watershed Lands,1453.28,http://sfwater.org/home.cfm,,,
112,124,Huddart County Park: Into the Woods,NULL,37.4386,-122.294,Huddart Park,1452.55,http://www.ci.sanmateo.ca.us/,,,
113,125,Huddart County Park: All-access Chickadee Trail,NULL,37.44,-122.292,Huddart Park,1452.4,http://www.ci.sanmateo.ca.us/,,,
114,126,Phleger Estate,,37.442,-122.291,Golden Gate National Recreation Area - Phleger,1452.38,http://www.nps.gov/,,,
115,127,Pulgas Water Temple/Crystal Springs Trail,NULL,37.4641,-122.298,San Francisco Watershed Lands,1452.54,http://sfwater.org/home.cfm,,,
116,128,Wunderlich County Park,NULL,37.4111,-122.261,Wunderlich Park,1451.01,http://www.ci.sanmateo.ca.us/,,,
117,129,Edgewood Park and Preserve,NULL,37.4731,-122.278,Edgewood Park,1451.39,http://www.redwoodcity.org/,,,
118,130,Bair Island,,37.4984,-122.224,Bair Island Ecological Reserve,1448.21,http://www.fws.gov/data/,,,
119,131,Stoneman Park-Riple Rouge Rd,NULL,38.0089,-121.921,Stoneman Park,1427.82,http://www.ci.pittsburg.ca.us/,,,
120,132,Black Diamond Way Walk-In Entrance,NULL,37.9543,-121.892,Black Diamond Mines Regional Preserve,1426.63,http://www.ebparks.org/,,,
121,133,Mount Diablo SP-Unnamed St,NULL,37.9042,-121.874,Mount Diablo State Park,1426.04,http://www.parks.ca.gov/,,,
122,134,Three Springs Entry,NULL,37.9125,-121.885,Mount Diablo State Park,1426.58,http://www.parks.ca.gov/,,,
123,135,Park Office Staging Area,NULL,37.9708,-121.863,Black Diamond Mines Regional Preserve,1424.94,http://www.ebparks.org/,,,
124,136,Somersville Townsite Staging Area,"<p>
	This is the end of the road in Black Diamond Mines. And it&#39;s the closest you can get (by car) to the Greathouse Visitor Center, Rose Hill Cemetary and an abundance of picnic tables.&nbsp;</p>
<p>
	Tours are available of the mines from March to November and reservations are necessary. No children under the age of 7 allowed on the tours.&nbsp;</p>
",37.9594,-121.863,Black Diamond Mines Regional Preserve,1425.03,http://www.ebparks.org/,,,
125,137,Trojan Road Staging Area,NULL,38.0393,-121.963,West Pittsburg,1429.89,http://www.ambroserec.org/,,,
126,138,Grizzly Island Wildlife Area,NULL,38.1112,-121.938,Grizzly Island Wildlife Area,1428.08,http://www.dfg.ca.gov/,,,
127,139,Frederickson Lane Entrance,NULL,37.9653,-121.822,Black Diamond Mines,1422.8,http://www.ebparks.org/,,,
128,140,Fredrickson Lane Park Entrance/Kiosk,NULL,37.97,-121.824,Black Diamond Mines,1422.84,http://www.ebparks.org/,,,
129,141,Reseda Way Walk-In Entrance,NULL,37.9786,-121.828,Black Diamond Mines,1423.01,http://www.ebparks.org/,,,
130,142,Grimsby Court Walk-In Entrance,NULL,37.9759,-121.834,Black Diamond Mines,1423.37,http://www.ebparks.org/,,,
131,143,James Donlan Blvd Walk-In Entrance,NULL,37.9797,-121.812,Black Diamond Mines,1422.15,http://www.ebparks.org/,,,
132,144,Brushy Peak Reg. Pres. LARPD,NULL,37.7808,-121.699,Brushy Peak,1417.44,http://www.larpd.dst.ca.us/,,,
133,145,Clifton Court,NULL,37.8375,-121.593,Clifton Court Forebay,1411.26,http://www.water.ca.gov/,,,
134,146,Vasco Road Park Entrance,NULL,37.8028,-121.675,Los Vaqueros Watershed,1415.98,http://www.ccwater.com/,,,
135,148,LosVaqueros: Camino Diablo & Walnut Blvd,NULL,37.8744,-121.699,Los Vaqueros Watershed,1416.72,http://www.ccwater.com/,,,
136,149,Walnut Staging Area,NULL,37.8599,-121.697,Los Vaqueros Watershed,1416.73,http://www.ccwater.com/,,,
137,150,Kellogg Creek Picnic Area,NULL,37.8479,-121.702,Los Vaqueros Watershed,1417.09,http://www.ccwater.com/,,,
138,151,Los Vaqueros Interpretive Ctr,NULL,37.8407,-121.726,Los Vaqueros Watershed,1418.48,http://www.ccwater.com/,,,
139,152,Patra Drive Walk-In Entrance,NULL,37.9496,-122.264,Kennedy Grove Regional Recreation Area,1446.85,http://www.ebparks.org/,,,
140,153,Heavenly Ridge Lane Walk-In Entrance,NULL,37.9684,-122.269,Sobrante Ridge Regional Preserve,1446.99,http://www.ebparks.org/,,,
141,154,Coach Drive Staging Area,NULL,37.9698,-122.259,Sobrante Ridge Regional Preserve,1446.42,http://www.ebparks.org/,,,
142,155,Hidden Springs Court Walk-In Entrance,NULL,37.9741,-122.267,Pinole Valley Park,1446.85,http://www.ci.pinole.ca.us/,,,
143,156,Conestoga Way Walk-In Entrance,NULL,37.9638,-122.256,Sobrante Ridge Regional Preserve,1446.29,http://www.ebparks.org/,,,
144,157,Pinole Valley Park,NULL,37.9807,-122.272,Pinole Valley Park,1447.04,http://www.ci.pinole.ca.us/,,,
145,158,Pinole Park,NULL,37.9814,-122.268,Pinole Valley Park,1446.83,http://www.ci.pinole.ca.us/,,,
146,159,Cesar Chavez Park/Dog Park,,37.8697,-122.32,Cesar Chavez Park,1450.44,http://www.ci.berkeley.ca.us/,,,
147,160,"Alvarado Park, Mcbryde and Martin Ave",NULL,37.9525,-122.322,Wildcat Canyon Regional Park,1449.97,http://www.ebparks.org/,,,
148,161,Little Farm and Education Center,"<p>
	For families with young children, this is a dream. &nbsp;There&#39;s a big field to run in, a playground to climb in, and little animals to pet and chase. &nbsp;The Education Center is an excellent place to learn more about farms, the Wildcat Canyon wildlife, and more. &nbsp;</p>
<p>
	Also from here you can start a short walk to Jewel Lake. &nbsp;The Wildcat Creek Trail goes for miles and ends up in Wildcat Regional Park. A favorite, relatively flat trail for runners.</p>
",37.909,-122.265,Tilden Regional Park,1447.17,http://www.ebparks.org/,,,
149,162,Rifle Range Road Walk-In Entrance,NULL,37.9324,-122.296,Wildcat Canyon Regional Park,1448.69,http://www.ebparks.org/,,,
150,163,San Pablo Dam Road Park Entrance,NULL,37.9446,-122.266,EBMUD,1446.99,http://www.ebmud.com/,,,
151,164,Wildcat Canyon Staging Area,NULL,37.952,-122.318,Wildcat Canyon Regional Park,1449.77,http://www.ebparks.org/,,,
152,165,Clark Road Walk-In Entrance,NULL,37.9622,-122.302,Wildcat Canyon Regional Park,1448.81,http://www.ebparks.org/,,,
153,166,Pinole Shores Drive Trail Staging Area,NULL,38.0099,-122.312,Point Pinole Regional Shoreline,1449.02,http://www.ebparks.org/,,,
154,167,Lake Anza Road Park Entrance,NULL,37.8991,-122.255,Tilden Regional Park,1446.73,http://www.ebparks.org/,,,
155,168,Merry-Go Round Staging Area,NULL,37.9006,-122.256,Tilden Regional Park,1446.74,http://www.ebparks.org/,,,
156,169,Hillside Drive Walk-In Entrance,,37.9481,-122.267,Kennedy Grove Regional Recreation Area,1447.01,http://www.ebparks.org/,,,
157,170,Inspiration Point Parking Lot,NULL,37.9055,-122.244,EBMUD,1446.09,http://www.ebmud.com/,,,
158,171,Isabel Street Staging Area,NULL,37.8981,-122.324,Albany Mudflats Ecological Reserve,1450.46,http://www.parks.ca.gov/,,,
159,172,Rydin Road Staging Area,NULL,37.9031,-122.319,Albany Mudflats Ecological Reserve,1450.18,http://www.parks.ca.gov/,,,
160,174,Canon Drive Park Entrance,NULL,37.9058,-122.268,Tilden Regional Park,1447.37,http://www.ebparks.org/,,,
161,175,Stonewall Road Park Entrance,NULL,37.8626,-122.244,EBMUD,1446.39,http://www.ebmud.com/,,,
162,176,Stonewall Road Walk-In Entrance,NULL,37.862,-122.242,EBMUD,1446.3,http://www.ebmud.com/,,,
163,177,Panoramic Way Walk-In Entrance,NULL,37.8672,-122.239,EBMUD,1446.08,http://www.ebmud.com/,,,
164,178,Norfolk Road Walk-In Entrance,NULL,37.8628,-122.224,EBMUD,1445.32,http://www.ebmud.com/,,,
165,179,De La Veaga Staging Area,"<p>
	Access the De La Veaga Trail through EBMUD property eventually to the Skyline Trail and Tilden Regional Park.</p>
<p>
	Need a permit for this trail. See <a href=http://www.ebmud.com/recreation/trail-use-permit/east-bay-trails"" target=""_blank"">here</a>.&nbsp;</p>",,,,,,,,
",37.8807,-122.188,EBMUD,1443.22,http://www.ebmud.com/
166,180,Steam Train Staging Area""",NULL,37.8801,-122.222,Tilden Regional Park,1445.08,http://www.ebparks.org/,,,,,
167,181,South Park Drive Staging Area at Willows Picnic Area,NULL,37.886,-122.23,Tilden Regional Park,1445.47,http://www.ebparks.org/,,,
168,182,Grizzly Peak Blvd Staging Area at Tower Trail,NULL,37.8815,-122.232,Tilden Regional Park,1445.59,http://www.ebparks.org/,,,
169,183,Lakeside Park-Perkins St,NULL,37.809,-122.256,Lake Merritt water,1447.46,http://www.oaklandnet.com/,,,
170,184,Lakeside Park-Harrison St Ramp,NULL,37.8109,-122.262,Lake Merritt water,1447.78,http://www.oaklandnet.com/,,,
171,185,Main Entrance ,"<p>
	Sibley is a gem of a park. Tucked up at the top of the Oakland hills, it&#39;s a small park with big views. From the top you can see Mt Tam and Mt Diablo and even further. There are several labyrinths in the park that are worth exploring. In the summer it can be hot and dry, in the winter lush and green. There is excellent birding in the pine and eucalyptus forests and you&#39;re sure to spot a cow or two.</p>
",37.8502,-122.202,Sibley Volcanic Regional Preserve,1444.22,http://www.ebparks.org/,,,
172,186,Grizzly Peak Blvd Walk-In Entrance,NULL,37.8516,-122.206,Sibley Volcanic Regional Preserve,1444.42,http://www.ebparks.org/,,,
